id,slot_value,personality,ground_truth,FVN without Control,FVN
123,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""customerRating"": ""mediocre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i do n't know . nameVariable is darn kid friendly near nearVariable and it is a restaurant , also it has a damn mediocre rating .","oh god i do n't know . nameVariable is a restaurant with a mediocre rating , also it is darn kid friendly near nearVariable !","oh god i do n't know . nameVariable is a restaurant with a mediocre rating , also it is darn friendly kind of near nearVariable ."
124,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""customerRating"": ""mediocre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is kid friendly near nearVariable , it is a restaurant , you know and it has a mediocre rating pal !","nameVariable is a restaurant , it is kid friendly , the rating is mediocre , you know and it is near nearVariable .","nameVariable is a mediocre rating , it is kid friendly near nearVariable and it is a restaurant , you know friend !"
125,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""English"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . ok , it seems to me that it is somewhat near nearVariable moderately priced in city centre , family friendly and an english restaurant , also it is a restaurant , you see ?","you want to know more about nameVariable ? right , it is an english restaurant , city centre , nearVariable , moderately priced and quite kid friendly , also it is a pub , you see ?","let 's see , nameVariable ... right , it is is a restaurant , also it is somewhat moderately priced , city centre , also it is an english restaurant , nearVariable , also it is kid friendly , alright ?"
126,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""English"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"damn moderately priced nameVariable is it 's an english place , it is in city centre and nameVariable is family friendly.. nameVariable is near nearVariable . it is a restaurant .","nameVariable is moderately priced , also it 's an english place . it is in city centre . it is near nearVariable . it is a pub . it is near nearVariable .","actually , i thought everybody knew that nameVariable is damn moderately priced , also it 's near nearVariable . it is a restaurant . it is in city centre . it is an english place . it is family friendly ."
127,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""English"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see what we can find on nameVariable . i see , it is a restaurant and it is an english place in city centre near nearVariable , family friendly and moderately priced .","let 's see what we can find on nameVariable . well , i see it is an english restaurant in city centre , moderately priced near nearVariable and kid friendly and it is a pub .","let 's see , nameVariable ... well , i see it is a restaurant , also it is moderately priced , city centre , an english place and family friendly near nearVariable ."
128,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""English"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh god err ... i am not sure . nameVariable is a restaurant and it is moderately priced in city centre , also it is darn kid friendly near nearVariable and an english place .","oh god i do n't know . nameVariable is darn moderately priced , an english place near nearVariable and kid friendly in city centre and it is a pub .","oh god i do n't know . nameVariable is a restaurant , also it is damn moderately priced , city centre , also it is an english place near nearVariable , and it is darn friendly ."
129,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""English"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is an english place , it is kid friendly , it 's near nearVariable , you know , it is a restaurant , also it is in city centre , and it is moderately priced pal !","nameVariable is a pub , it is moderately priced , city centre , it is an english place , it is near nearVariable and it is kid friendly , you know !","i , nameVariable is a english place , city centre near nearVariable , family friendly and moderately priced , also it is a restaurant , you know !"
130,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""high"", ""customerRating"": ""average"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . ok , yeah , it is n't kid friendly with an average rating , also it is expensive near nearVariable and a chinese place , it is a restaurant and it is kind of in city centre , okay ?","you want to know more about nameVariable ? right , it is a chinese restaurant in city centre near nearVariable and expensive with an average rating , it is a pub , also it is n't somewhat family friendly , you know , alright ?","let 's see , nameVariable ... oh , it is a chinese restaurant and expensive in city centre near nearVariable with a quite average rating , also it is a family friendly , also it 's a pub , alright ?"
131,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""high"", ""customerRating"": ""average"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is a restaurant and it is near nearVariable , also it is expensive in city centre . it has like , an average rating . it 's a chinese place . it is n't family friendly . oh god come on .","nameVariable is a chinese restaurant , also it is n't kid friendly . it is a nearVariable . it is a city centre . it is a , an average rating . it is a pub . it is expensive .","nameVariable is a chinese place and it is expensive , also it rating is average . it is near nearVariable . it is in city centre . it is n't damn family friendly ."
132,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""high"", ""customerRating"": ""average"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"let 's see what we can find on nameVariable . well , i see it is n't family friendly , also the rating is average . it is a restaurant and it is a chinese place near nearVariable in city centre and expensive .","you want to know more about nameVariable ? it is n't kid friendly with an average rating , it is a chinese restaurant in city centre near nearVariable and expensive and it is a pub .","you want to know more about nameVariable ? i see , well it is a chinese place and nearVariable in city centre and expensive with an average rating , also it is a family friendly , and it 's a pub ."
133,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""high"", ""customerRating"": ""average"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"i do n't know . nameVariable is n't kid friendly , the rating is average , it is a chinese place near nearVariable in city centre friend , it is a restaurant and it is damn expensive !","oh god i do n't know . nameVariable is a chinese place in city centre near nearVariable and expensive with an average rating , it is a pub , also it is n't damn kid friendly !","oh gosh i do n't know . nameVariable is a chinese place and damn in city centre expensive near nearVariable , also it is n't family friendly , also it has like , an average rating , and it is a pub ."
134,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""high"", ""customerRating"": ""average"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is n't kid friendly , it 's near nearVariable , also it has an average rating mate , nameVariable is a chinese place in city centre and expensive and it is a restaurant , you know .","nameVariable is a chinese place in city centre near nearVariable and expensive , it is n't kid friendly , it 's a pub , you know and it has an average rating friend !","nameVariable is a chinese place and city centre near nearVariable and expensive , it has an average rating , it is n't family friendly and it 's a pub , you know ."
135,"{""name"": ""nameVariable"", ""eatType"": ""coffee shop"", ""customerRating"": ""low"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"you want to know more about nameVariable ? right , yeah it is kid friendly somewhat near nearVariable with a low rating and it is a coffee shop , okay ?","you want to know more about nameVariable ? well , it is a coffee shop with a low rating , also it is somewhat kid friendly near nearVariable , you see ?","let 's see , nameVariable ... oh , it is a coffee shop with a low rating , also it is somewhat family friendly near nearVariable , you ?"
136,"{""name"": ""nameVariable"", ""eatType"": ""coffee shop"", ""customerRating"": ""low"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable has a damn low rating , it is a coffee shop and it is kid friendly near nearVariable .","nameVariable is kid friendly near nearVariable . it has a coffee shop . it has like , a low rating .","oh god basically , everybody knows that nameVariable is a coffee shop with a low rating . it is near nearVariable and it is kid friendly ."
137,"{""name"": ""nameVariable"", ""eatType"": ""coffee shop"", ""customerRating"": ""low"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"you want to know more about nameVariable ? well , i see it is a coffee shop , also nameVariable is family friendly sort of near nearVariable , also it has a low rating .","let 's see what we can find on nameVariable . well , i see it is kid friendly sort of near nearVariable with a low rating and it is a coffee shop .","let 's see , nameVariable ... i see , well it is a coffee shop with a low rating and it is family friendly near nearVariable ."
138,"{""name"": ""nameVariable"", ""eatType"": ""coffee shop"", ""customerRating"": ""low"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh god i mean , i am not sure . mmhm ... nameVariable is kid friendly near nearVariable with a low rating and it is a coffee shop .","oh god i do n't know . nameVariable is darn kid friendly near nearVariable with a low rating , also it is a coffee shop !","oh god i do n't know . nameVariable is a coffee shop , also it is a low rating , also it is darn friendly near nearVariable !"
139,"{""name"": ""nameVariable"", ""eatType"": ""coffee shop"", ""customerRating"": ""low"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable has a low rating , nameVariable is kid friendly , it 's a coffee shop and nameVariable is near nearVariable friend , you know !","nameVariable is a low rating , it is kid friendly near nearVariable and it is a coffee shop , you know pal !","nameVariable is a coffee shop , it is kid friendly near nearVariable and it has a low rating , you know friend !"
140,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Chinese"", ""priceRange"": ""high"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"you want to know more about nameVariable ? oh i see nameVariable is a chinese restaurant , rather expensive and near nearVariable family friendly in city centre , also it is a pub , okay ?","let 's see what we can find on nameVariable . well , it is a chinese restaurant , rather expensive and near nearVariable expensive in city centre and it is a pub , you see ?","let 's see , nameVariable ... oh , it is a pub , also it is a chinese restaurant , nearVariable , also it is somewhat expensive friendly , and it 's a chinese restaurant , alright ?"
141,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Chinese"", ""priceRange"": ""high"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"come on , nameVariable is a chinese restaurant in city centre . it 's a pub . it is damn family friendly . it is expensive near nearVariable .","nameVariable is a chinese restaurant , also it is damn expensive . it is a city centre . it is a pub . it is near nearVariable . it is kid friendly .","nameVariable is a chinese place , also it is damn expensive . it is in city centre . it is a pub . it is near nearVariable . it is kid friendly ."
142,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Chinese"", ""priceRange"": ""high"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? i see , well it is a pub , also it is expensive , a chinese restaurant and in city centre kid friendly near nearVariable .","let 's see what we can find on nameVariable . well , i see it is a chinese restaurant in city centre near nearVariable and expensive friendly and expensive and it is a pub .","let 's see , nameVariable ... well , i see it is a chinese , a chinese restaurant and city centre and expensive near nearVariable and it is a pub ."
143,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Chinese"", ""priceRange"": ""high"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"mmhm ... i am not sure . nameVariable is a chinese place , kid friendly near nearVariable and damn expensive in city centre and it is a pub , mate .","yeah , i do n't know . nameVariable is a pub , also it is damn expensive , a chinese place in city centre and damn expensive near nearVariable .","oh god i do n't know . nameVariable is a pub , also it is a chinese place , nearVariable , also it is darn friendly in city centre , also it is damn expensive ."
144,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Chinese"", ""priceRange"": ""high"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a pub , also it is expensive , kid friendly and a chinese place in city centre near nearVariable buddy , you know !","nameVariable is a pub , it is expensive and a chinese place , it is near nearVariable , it is expensive and it 's in city centre , you know !","nameVariable is a pub , it is expensive and a chinese place , it is in city centre , you know and it is near nearVariable and it is kid friendly ."
145,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? right , it is a pub , also it is an italian restaurant . nameVariable is sort of near nearVariable in riverside and it is n't somewhat family friendly , you see ?","let 's see , nameVariable ... find on nameVariable . right , it is an italian restaurant in riverside near nearVariable , also it is a pub , also it is n't somewhat rather kid friendly , alright ?","let 's see , nameVariable ... oh , it is is an italian restaurant in riverside near nearVariable , also it is n't somewhat family friendly , also it 's a pub , alright ?"
146,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is n't damn kid friendly , also it 's an italian place , and nameVariable is near nearVariable , also it is in riverside . it is a pub .",nameVariable is an italian restaurant in riverside . it is a pub . it is near nearVariable . it is n't damn kid friendly .,"it 's an italian place , also nameVariable is in riverside . it is n't damn family friendly . it is near nearVariable . it is a pub ."
147,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"you want to know more about nameVariable ? well , i see , i guess nameVariable is n't kid friendly and it 's an italian restaurant near nearVariable in riverside , also it is a pub .","let 's see what we can find on nameVariable . well , i see it is an italian restaurant in riverside near nearVariable , it is a pub and it is n't kid friendly .","let 's see , nameVariable ... i see , well it is an italian restaurant in riverside near nearVariable , it is a pub and it is n't family friendly ."
148,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"err ... yeah , i am not sure . nameVariable is a pub , also nameVariable is an italian place , also it is kind of in riverside near nearVariable , and it is n't family friendly .","oh gosh i do n't know . nameVariable is an italian place in riverside near nearVariable , also it is a pub , also it is n't damn kid friendly !","oh gosh i do n't know . nameVariable is a pub , also it is an italian place near nearVariable in riverside , also it is n't damn kid friendly ."
149,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is near nearVariable , pal , nameVariable is n't family friendly , it 's an italian place , it is in riverside , you know and it is a pub !","nameVariable is an italian place in riverside near nearVariable , it is a pub , you know and it is n't family friendly pal !","nameVariable is an italian place in riverside near nearVariable , it is n't pub , you know and it is n't family friendly pal !"
150,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""English"", ""priceRange"": ""high"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... yeah , i see it is an english restaurant , expensive near nearVariable and quite family friendly in city centre , also it is a pub , you see ?","let 's see what we can find on nameVariable . well , it is a pub , also it is an english restaurant , city centre , nearVariable , rather expensive and and expensive , you know , okay ?","let 's see , nameVariable ... right , it is is a pub , also it is somewhat expensive , city centre , also it is an english restaurant , and it is somewhat family friendly , alright ?"
151,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""English"", ""priceRange"": ""high"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is an english restaurant and damn expensive , also nameVariable is a pub . it 's near nearVariable . it is kid friendly . it is in city centre .","basically , i thought everybody knew that nameVariable is damn expensive , also it 's an english place . it is a city centre . it is a pub . it is near nearVariable . it is damn kid friendly .","nameVariable is a pub , also it is damn expensive . it is in city centre . it is an english place . it is near nearVariable . it is kid friendly ."
152,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""English"", ""priceRange"": ""high"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... i see , well nameVariable is a pub and it is expensive in city centre , an english place and kid friendly near nearVariable .","let 's see what we can find on nameVariable . well , i see it is an english restaurant in city centre near nearVariable , expensive and family friendly and it is a pub .","let 's see , nameVariable ... well , i see it is a pub , also it is expensive , an english restaurant and city centre and family friendly near nearVariable ."
153,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""English"", ""priceRange"": ""high"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , oh gosh i am not sure . nameVariable is damn expensive near nearVariable , kid friendly in city centre and an english place , and it is a pub , it .","yeah , i do n't know . nameVariable is a pub , also it is damn expensive , city centre , an english place near nearVariable and damn kid friendly .","oh god i do n't know . nameVariable is a pub , also it is darn expensive friendly , an english place and city centre and expensive near nearVariable ."
154,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""English"", ""priceRange"": ""high"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a pub , it is expensive , it 's near nearVariable , you know and it is kid friendly , also it 's an english place in city centre friend !","nameVariable is a pub , it is expensive , it 's an english place , it is near nearVariable , it is in city centre and it is kid friendly , you know !","nameVariable is a pub , it is expensive and an english place , it is in city centre and it is near nearVariable , also it is kid friendly , you know !"
155,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Indian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? ok , oh it is an indian place near nearVariable and rather kid friendly in city centre and it is a restaurant , okay ?","let 's see what we can find on nameVariable . well , it is an indian restaurant in city centre and nearVariable and rather kid friendly , also it is a pub , you know , alright ?","let 's see , nameVariable ... oh , it is is an indian restaurant and city centre and nearVariable and rather family friendly , also it is a restaurant , alright ?"
156,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Indian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,moderately priced nameVariable is it is an indian place and it is in city centre . it is a restaurant . it 's near nearVariable . it 's family friendly.. oh god come on .,"nameVariable is an indian place , also it is damn kid friendly . it is a pub . it is in city centre . it is near nearVariable .","nameVariable is damn family friendly , also it 's near nearVariable . it is in city centre . it is an indian place . it is a restaurant ."
157,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Indian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? i see , well , i think that it is a restaurant , also it is family friendly and an indian place near nearVariable in city centre .","let 's see what we can find on nameVariable . well , i see it is an indian restaurant near nearVariable and city centre and kid friendly and it is a pub .","let 's see , nameVariable ... well , i see it is an indian place and in city centre family friendly near nearVariable and it is a restaurant ."
158,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Indian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh god oh gosh i do n't know . err ... nameVariable is a restaurant , also nameVariable is near nearVariable , it is family friendly in city centre and it is an indian place .","oh god yeah , i do n't know . nameVariable is a pub , also it is an indian place in city centre near nearVariable , and it is darn kid friendly .","oh god i mean , i do n't know . nameVariable is a indian place and city centre near nearVariable and it is a restaurant , also it is damn kid friendly ."
159,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Indian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is an indian place and near nearVariable kid friendly in city centre , you know , and it is a restaurant buddy !","nameVariable is an indian place in city centre near nearVariable and kid friendly , also it is a pub , you know friend !","nameVariable is a indian place and city centre near nearVariable and it is a restaurant , also it is a restaurant , you know , !"
160,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""French"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . well , oh nameVariable is a restaurant and it is near nearVariable , also it is somewhat moderately priced in city centre and family friendly , also it is a french place , alright ?","let 's see what we can find on nameVariable . well , it is a french restaurant , rather moderately priced in city centre and family friendly near nearVariable and it is a pub , alright ?","let 's see , nameVariable ... oh , it is a french restaurant , rather family friendly and city centre and moderately priced near nearVariable , also it is a restaurant , you know , alright ?"
161,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""French"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"basically , everybody knows that nameVariable is damn family friendly in city centre and it is a restaurant , also it is moderately priced . nameVariable is a french place near nearVariable .","basically , i mean , i thought everybody knew that nameVariable is a french restaurant , also it is moderately priced . it is a city centre . it is a pub . it is near nearVariable . it is kid friendly .","actually , i thought everybody knew that nameVariable is damn moderately priced , also it 's a french . it is a french place . it is near nearVariable . it is in city centre . it is family friendly ."
162,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""French"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"you want to know more about nameVariable ? i see , well nameVariable is a restaurant , also it is a french place in city centre near nearVariable , family friendly and moderately priced .","let 's see what we can find on nameVariable . well , i see it is a french restaurant in city centre , moderately friendly near nearVariable and moderately priced and it is a pub .","you want to know more about nameVariable ? well , i see it is a french place , city centre near nearVariable , family friendly and moderately priced , also it is a restaurant ."
163,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""French"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i do n't know . nameVariable is in city centre near nearVariable . it is a restaurant , also it is darn moderately priced and damn kid friendly , and it 's a french place .","oh god i do n't know . nameVariable is a pub , also it is darn moderately priced , a french place in city centre and nearVariable and kid friendly ,","oh god i do n't know . nameVariable is a french place , damn , also it is a french place , also it is darn moderately priced , city centre , also it is a restaurant ."
164,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""French"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is moderately priced , also it 's kid friendly , it 's in city centre buddy , you know , it is near nearVariable , it is a french place and it is a restaurant .","nameVariable is a french place , city centre , nearVariable , moderately priced and moderately priced , also it is a pub , you know !","nameVariable is a french place , nearVariable , it is in city centre , it is a friendly and it 's a priced , also it 's a restaurant ."
165,"{""name"": ""nameVariable"", ""eatType"": ""coffee shop"", ""customerRating"": ""average"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"you want to know more about nameVariable ? right , well it is a coffee shop with an average rating and nameVariable is family friendly kind of near nearVariable , okay ?","let 's see what we can find on nameVariable . well , it is a coffee shop with an average rating , also it is somewhat kid friendly near nearVariable , you see ?","let 's see , nameVariable ... right , it is is a coffee shop with an average rating , also it is somewhat family friendly near nearVariable , alright ?"
166,"{""name"": ""nameVariable"", ""eatType"": ""coffee shop"", ""customerRating"": ""average"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"actually , basically , everybody knows that nameVariable is kid friendly , also the rating is average . it is a coffee shop . it is near nearVariable .","oh god i mean , i thought everybody knew that nameVariable is kid friendly near nearVariable with an average rating . it is a coffee shop .","oh god basically , everybody knows that nameVariable is near nearVariable with an average rating . it is a coffee shop . it is kid friendly ."
167,"{""name"": ""nameVariable"", ""eatType"": ""coffee shop"", ""customerRating"": ""average"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... well , i see nameVariable is family friendly with an average rating , it is a coffee shop and it is sort of near nearVariable .","let 's see what we can find on nameVariable . well , i see it is a coffee shop with an average rating , also it is somewhat kid friendly near nearVariable .","let 's see , nameVariable ... i see , well it is a coffee shop with an average rating and it is family friendly near nearVariable ."
168,"{""name"": ""nameVariable"", ""eatType"": ""coffee shop"", ""customerRating"": ""average"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i do n't know . i mean nameVariable is damn kid friendly near nearVariable with an average rating , also it is a coffee shop .","oh god i do n't know . nameVariable is darn kid friendly near nearVariable with an average rating , also it is a coffee shop !","oh god i do n't know . nameVariable is a coffee shop , also it is darn friendly near nearVariable , also it has like , an average rating ."
169,"{""name"": ""nameVariable"", ""eatType"": ""coffee shop"", ""customerRating"": ""average"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a coffee shop , also it is family friendly near nearVariable , you know , friend and it has an average rating !","nameVariable is near nearVariable with an average rating , it is kid friendly , you know and it 's a coffee shop pal !","nameVariable is a coffee shop , it is kid friendly near nearVariable and it has an average rating , you know friend !"
170,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . well , i see it is a pub and it is somewhat expensive in riverside , kid friendly near nearVariable and a fast food restaurant , okay ?","let 's see what we can find on nameVariable . well , it is a pub , also it is a fast food restaurant , riverside , nearVariable , rather kid friendly and expensive , , alright ?","let 's see , nameVariable ... right , it is a pub , also it is a fast food restaurant , rather expensive and riverside and family friendly near nearVariable , you know , alright ?"
171,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"average the rating is nameVariable is a pub , it is in riverside , it is near nearVariable and it is expensive.. it is damn kid friendly . it is a fast food restaurant .","basically , i thought everybody knew that nameVariable is damn expensive , also it 's a fast food place . it is a pub . it is in riverside . it is near nearVariable . it is damn kid friendly .","nameVariable is a fast food place , also it is damn expensive . it is a pub . it is in riverside . it is near nearVariable . it is kid friendly ."
172,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? i see , well nameVariable is expensive , family friendly and a fast food restaurant near nearVariable in riverside and nameVariable is a pub .","you want to know more about nameVariable ? well , i see , i suppose it is a fast food restaurant in riverside near nearVariable , expensive and family friendly , also it is a pub .","you want to know more about nameVariable ? well see , well it is a pub , it is expensive in riverside , a fast food restaurant and nearVariable and family friendly ."
173,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"i mean , i do n't know . mmhm ... nameVariable is darn expensive , family friendly and a fast food place near nearVariable , it is in riverside and it is a pub .","yeah , i do n't know . nameVariable is a pub , also it is damn expensive , damn kid friendly and a fast food place near nearVariable in riverside .","oh god i do n't know . nameVariable is a pub , also it is a fast food place , damn expensive and family friendly near nearVariable , also it is in riverside ."
174,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a fast food place in riverside near nearVariable , you know , nameVariable is a pub , also it is family friendly , pal and it 's expensive !","nameVariable is a pub , it is expensive , it 's a fast food place , it is near nearVariable , it is family friendly and it 's in riverside , you know !","nameVariable is a pub , it is expensive and a fast food place near nearVariable and it is in riverside , also it is kid friendly , you know !"
