id,slot_value,personality,ground_truth,FVN without Control,FVN
402,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""French"", ""priceRange"": ""20-25"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... it is a french restaurant in riverside near nearVariable and family friendly with a price range of £20-25 and nameVariable is a pub .","let 's see what we can find on nameVariable . well , i see it is a french restaurant in riverside and family friendly near nearVariable with a price range of £20-25 and it is a pub .",
403,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""French"", ""priceRange"": ""20-25"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh gosh i mean , i do n't know . mmhm ... nameVariable is a french place and kid friendly near nearVariable , also it is in riverside , also it has a price range of £20-25 , also it is a pub .","oh god i do n't know . nameVariable is a pub with a price range of £20-25 , also it is darn kid friendly in riverside , also it is a french place near nearVariable !",
404,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""French"", ""priceRange"": ""20-25"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a pub with a price range of £20-25 , also it is near nearVariable , pal and it is in riverside , also it is a french place and family friendly , you know !","nameVariable is a french place in riverside near nearVariable and family friendly , it has a price range of £20-25 and it is a pub , you know pal !",
405,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Indian"", ""priceRange"": ""high"", ""customerRating"": ""average"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"you want to know more about nameVariable ? i see , right it is a restaurant , also it is somewhat in riverside kid friendly near nearVariable , expensive and an indian restaurant , and nameVariable has an average rating , you see ?","let 's see what we can find on nameVariable . well , it is a pub with an average rating , also it is an indian restaurant in riverside , nearVariable , expensive and family friendly , and it is a pub , you see ?",
406,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Indian"", ""priceRange"": ""high"", ""customerRating"": ""average"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"oh god come on nameVariable is near nearVariable , it has like , an average rating , also it is an indian place , and nameVariable is a restaurant . it 's expensive in riverside . it is family friendly .","oh god i mean , i thought everybody knew that nameVariable is an indian restaurant , also it is expensive , and it 's expensive . it is a riverside . it is a pub . it is near nearVariable . it is an average rating .",
407,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Indian"", ""priceRange"": ""high"", ""customerRating"": ""average"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , i see it is a restaurant with an average rating , also it is an indian place , expensive and family friendly near nearVariable , and it is sort of in riverside .","let 's see what we can find on nameVariable . well , i see it is an indian restaurant in riverside , expensive near nearVariable and kid friendly with an average rating , also it is a pub .",
408,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Indian"", ""priceRange"": ""high"", ""customerRating"": ""average"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"mmhm ... i am not sure . nameVariable is an indian place near nearVariable , kid friendly and expensive in riverside , also it has like , an average rating , also it is a restaurant buddy .","oh god i do n't know . nameVariable is a pub with an average rating , also it is darn expensive , an indian place and in riverside expensive near nearVariable , and it is kid friendly .",
409,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Indian"", ""priceRange"": ""high"", ""customerRating"": ""average"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a restaurant , it has an average rating , nameVariable is expensive buddy , it 's near nearVariable , also it is in riverside , it is an indian place , you know and it is family friendly !","nameVariable is a pub with an average rating , it is expensive , it 's an indian place , it is near nearVariable , it is in riverside and it is kid friendly , you know !",
410,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? well it is n't somewhat rather kid friendly , it 's a japanese restaurant , it is near nearVariable in city centre and it is a pub , you see ?","let 's see , nameVariable ... find on nameVariable . right , it is a japanese restaurant in city centre near nearVariable , also it is n't somewhat family friendly , and it 's a pub , you know , alright ?",
411,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"oh god basically , everybody knows that nameVariable is a japanese place , nameVariable is near nearVariable and it is n't family friendly . it is a pub . nameVariable is in city centre .",nameVariable is a japanese place in city centre . it is a pub . it is n't damn kid friendly . it is near nearVariable .,
412,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"you want to know more about nameVariable ? well , i see it 's a pub , it is a japanese restaurant sort of in city centre and it is near nearVariable . nameVariable is n't family friendly .","let 's see what we can find on nameVariable . well , i see it is a japanese restaurant in city centre near nearVariable , also it is a pub , and it is n't kid friendly .",
413,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"oh god yeah , i do n't know . err ... nameVariable is a pub , and it is n't kid friendly , also it 's a japanese place near nearVariable in city centre .","oh gosh i do n't know . nameVariable is a japanese place in city centre near nearVariable , also it is n't damn kid friendly , and it 's a pub !",
414,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is a pub , also it is a japanese place near nearVariable , it is n't kid friendly pal and it 's in city centre , you know !","nameVariable is a japanese place in city centre near nearVariable , it is a pub , you know and it is n't family friendly pal !",
415,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""20-25"", ""customerRating"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"you want to know more about nameVariable ? ok it is a pub with a rather high rating with a price range of £20-25 , also nameVariable is somewhat near nearVariable family friendly in riverside and a japanese restaurant , alright ?","you want to know more about nameVariable ? well , it is a japanese restaurant in riverside near nearVariable and family friendly with a price range of £20-25 with a high rating , also it is a pub , you know , you see ?",
416,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""20-25"", ""customerRating"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is a pub and it is a japanese restaurant . it has a price range of damn £20-25 . it is family friendly in riverside . it has like , a high rating . basically , it is near nearVariable .",nameVariable is a japanese restaurant with a high rating . it is a riverside . it is a nearVariable . it is a pub . it has a price range of £20-25 . it is a pub .,
417,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""20-25"", ""customerRating"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see what we can find on nameVariable . well , i see , i guess it is kid friendly and a japanese restaurant in riverside near nearVariable with a price range of £20-25 and it has a high rating , also it is a pub .","let 's see what we can find on nameVariable . well , i see it is a japanese restaurant in riverside near nearVariable and kid friendly with a high rating with a price range of £20-25 and it is a pub .",
418,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""20-25"", ""customerRating"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh god err ... i do n't know ! nameVariable is a pub with a price range of £20-25 with a high rating , it is family friendly and it 's near nearVariable in riverside , also nameVariable is a japanese place .","oh god i do n't know . nameVariable is a japanese place in riverside near nearVariable and kid friendly with a high rating , also it is a pub , also it has a price range of £20-25 !",
419,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""20-25"", ""customerRating"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable has a price range of £20-25 with a high rating and it is kid friendly and a japanese place in riverside near nearVariable , also it is a pub , buddy , you know !","nameVariable is a japanese place in riverside near nearVariable and family friendly with a high rating , it is a pub , it has a price range of £20-25 , you know friend !",
420,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""French"", ""priceRange"": ""20-25"", ""customerRating"": ""decent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . well , it has a price range of £20-25 with a decent rating , also it is in city centre family friendly near nearVariable and a french restaurant , also it is a pub pal , you know , you see ?","let 's see what we can find on nameVariable . well , it is a french restaurant in city centre near nearVariable and kid friendly with a price range of £20-25 , it is a pub , also it has a decent rating , you know , you see ?",
421,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""French"", ""priceRange"": ""20-25"", ""customerRating"": ""decent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,decent the rating is nameVariable is near nearVariable and it is a pub.. it is family friendly . it has a price range of £20-25 . nameVariable is a french place . it is in city centre .,"nameVariable is a french restaurant with a price range of £20-25 . it is a city centre . it is a nearVariable . it is a friendly . it is a pub . it has like , a decent rating .",
422,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""French"", ""priceRange"": ""20-25"", ""customerRating"": ""decent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"you want to know more about nameVariable ? well , i see it is a pub with a decent rating with a price range of £20-25 , also nameVariable is a french restaurant sort of in city centre , and it is family friendly near nearVariable .","let 's see what we can find on nameVariable . well , i see it is a french restaurant in city centre near nearVariable and kid friendly with a decent rating with a price range of £20-25 and it is a pub , you see ?",
423,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""French"", ""priceRange"": ""20-25"", ""customerRating"": ""decent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i am not sure . nameVariable has a decent rating with a price range of £20-25 , also it is a french place in city centre near nearVariable and damn family friendly , also it is a pub !","oh god i do n't know . nameVariable is a french place in city centre near nearVariable and kid friendly with a decent rating , also it is a pub , also it has a price range of £20-25 !",
424,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""French"", ""priceRange"": ""20-25"", ""customerRating"": ""decent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable has a price range of £20-25 pal , nameVariable is a french place near nearVariable and kid friendly in city centre , it is a pub and nameVariable has a decent rating , you know !","nameVariable is a french place in city centre near nearVariable and kid friendly with a decent rating , it is a pub , it has a price range of £20-25 , you know pal !",
425,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Japanese"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . yeah , i suppose it is a japanese place near nearVariable in city centre , it is a restaurant and nameVariable is somewhat family friendly , you see ?","you want to know more about nameVariable ? right , it is a japanese restaurant in city centre and nearVariable and rather family friendly , also it is a pub , you know , alright ?",
426,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Japanese"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"obviously , basically it 's near nearVariable , also nameVariable is a japanese place . it is damn kid friendly . nameVariable is a restaurant and it is in city centre .","nameVariable is a japanese place , also it is damn kid friendly . it is a pub . it is in city centre . it is near nearVariable .",
427,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Japanese"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , i see it is a japanese place near nearVariable . it is a restaurant , also it is kid friendly in city centre .","let 's see what we can find on nameVariable . well , i see it is a japanese restaurant in city centre and nearVariable and kid friendly and it is a pub .",
428,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Japanese"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"mmhm ... err ... i do n't know . nameVariable is a restaurant , also it is a japanese place , also it is kind of near nearVariable in city centre , and nameVariable is family friendly .","oh god yeah , i do n't know . nameVariable is a japanese place in city centre and nearVariable and kid friendly , also it is a pub !",
429,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Japanese"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a japanese place and kid friendly , also nameVariable is a restaurant , it is in city centre , you know and it is near nearVariable .","nameVariable is a japanese place in city centre near nearVariable and family friendly , also it is a pub , you know !",
430,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""20-25"", ""customerRating"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . oh it is a pub with a high rating with a price range of £20-25 , also it is a fast food restaurant in riverside , it is sort of near nearVariable and it is rather family friendly , okay ?","you want to know more about nameVariable ? well , it is a fast food restaurant in riverside near nearVariable and family friendly with a price range of £20-25 with a high rating , also it is a pub , you know , alright ?",
431,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""20-25"", ""customerRating"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is a pub and it is a fast food place , also it is family friendly near nearVariable . it has like , a high rating . it has a price range of £20-25 . it is in riverside .","nameVariable is a fast food restaurant in riverside . it is a pub . it has like , a high rating . it is near nearVariable . it is a price range of £20-25 . it is a pub .",
432,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""20-25"", ""customerRating"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? i see , well it has a price range of £20-25 , it is a fast food restaurant sort of near nearVariable , also nameVariable is a pub , also it has a high rating , and it is kid friendly in riverside .","let 's see what we can find on nameVariable . well , i see it is a fast food restaurant in riverside near nearVariable and kid friendly with a high rating with a price range of £20-25 and it is a pub .",
433,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""20-25"", ""customerRating"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i am not sure . nameVariable has like , a high rating , with a price range of £20-25 , it is near nearVariable , also it is a pub , and it is damn family friendly in riverside and a fast food place .","oh god i do n't know . nameVariable is a pub with a high rating , also it is a fast food place in riverside near nearVariable , also it has a price range of £20-25 , and it is darn kid friendly .",
434,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""20-25"", ""customerRating"": ""high"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a fast food place and family friendly , it has a price range of £20-25 , it is a pub , you know , it is near nearVariable , it is in riverside and it has a high rating friend .","nameVariable is a high rating , it is a fast food place , it is a price range of £20-25 , it is a friendly in riverside , it is a pub and it is near nearVariable , you know !",
435,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? right , yeah it is a pub , also it is near nearVariable , it has a decent rating and it is a fast food restaurant , rather moderately priced in riverside and kid friendly , alright ?","you want to know more about nameVariable ? right , it is a pub with a decent rating , also it is somewhat moderately priced , in riverside , a fast food restaurant near nearVariable and family friendly , alright ?",
436,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"actually , i thought everybody knew that nameVariable is moderately priced , also the rating is damn decent . it 's a fast food place . it is kid friendly . it is near nearVariable . it is in riverside . it is a pub .","oh , i mean , i thought everybody knew that nameVariable is moderately priced with a decent rating . it is a fast food place . it is a riverside . it is a nearVariable . it is a pub . it is kid friendly .",
437,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , it is a pub with a decent rating , also nameVariable is family friendly and a fast food place in riverside , also it is moderately priced near nearVariable .","let 's see what we can find on nameVariable . well , i see it is a fast food restaurant in riverside , moderately friendly near nearVariable and moderately priced with a decent rating and it is a pub .",
438,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"i do n't know . nameVariable has like , a damn decent rating , also nameVariable is moderately priced and a fast food place in riverside , also it 's near nearVariable , also it is darn family friendly , and nameVariable is a pub .","oh god i do n't know . nameVariable is a pub with a decent rating , also it is darn moderately priced , a fast food place near nearVariable and kid friendly in riverside .",
439,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a pub mate , you know , it is moderately priced near nearVariable , it is kid friendly and a fast food place , it has a decent rating and it is in riverside !","nameVariable is a pub , it is moderately priced , it 's a fast food place , it is near nearVariable , it is in riverside , it is kid friendly and it 's in riverside , you know !",
440,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""cheap"", ""customerRating"": ""average"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . ok , oh it is a restaurant with an average rating , also it is a chinese restaurant , and nameVariable is n't family friendly , also it 's rather near nearVariable cheap in city centre , you see ?","let 's see what we can find on nameVariable . well , it is a chinese restaurant in city centre near nearVariable and cheap with an average rating , it is n't somewhat kid friendly and it 's a pub , you see ?",
441,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""cheap"", ""customerRating"": ""average"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"basically , everybody knows that nameVariable is a chinese place , also it is damn cheap . it has an average rating and it 's in city centre . it 's near nearVariable . it is n't kid friendly . it is a restaurant .","nameVariable is a chinese restaurant , also it is cheap . it is a city centre . it is a nearVariable . it is a damn average rating . it is a pub . it is n't kid friendly .",
442,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""cheap"", ""customerRating"": ""average"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"you want to know more about nameVariable ? i see , it seems to me that nameVariable is a restaurant with an average rating , nameVariable is cheap , also it 's in city centre , it is a chinese place sort of near nearVariable and nameVariable is n't family friendly .","let 's see what we can find on nameVariable . well , i see it is a chinese restaurant in city centre near nearVariable and cheap with an average rating , it is a pub and it is n't kid friendly .",
443,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""cheap"", ""customerRating"": ""average"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , mmhm ... i am not sure . nameVariable is n't kid friendly with a damn average rating , also nameVariable is cheap in city centre , also it is a restaurant , and it is a chinese place near nearVariable .","oh god i do n't know . nameVariable is a chinese place in city centre near nearVariable and cheap with an average rating , it is a pub , also it is n't damn kid friendly !",
444,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""cheap"", ""customerRating"": ""average"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is a restaurant mate , it is a chinese place and cheap , nameVariable is near nearVariable , it has an average rating , it is n't family friendly and it 's in city centre , you know !","nameVariable is a chinese place in city centre near nearVariable and cheap , it is n't kid friendly , it 's a pub , you know and it has an average rating pal !",
445,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""20-25"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . well , ok , it is near nearVariable in riverside with a price range of £20-25 , it is a pub , it is a fast food restaurant and it is rather kid friendly , you see ?","let 's see what we can find on nameVariable . well , it is a pub with a price range of £20-25 , also it is a fast food restaurant in riverside near nearVariable and rather family friendly , you know , alright ?",
446,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""20-25"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,nameVariable is in riverside near nearVariable with a price range of £20-25 . it 's a pub . it is family friendly . it is a fast food restaurant .,"oh god basically , i thought everybody knew that nameVariable is a friendly with a price range of £20-25 . it is a fast food place . it is a pub . it is in riverside . it is near nearVariable .",
447,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""20-25"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see what we can find on nameVariable . well , nameVariable is a pub , also it has a price range of £20-25 , and it is a fast food restaurant near nearVariable and family friendly , also it is sort of in riverside .","let 's see what we can find on nameVariable . well , i see it is a fast food restaurant in riverside and family friendly near nearVariable with a price range of £20-25 and it is a pub .",
448,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""20-25"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i mean , i am not sure . nameVariable is a pub with a price range of £20-25 , also it is darn kid friendly near nearVariable , also it is a fast food place in riverside .","oh god i do n't know . nameVariable is a pub with a price range of £20-25 , also it is darn kid friendly in riverside , also it is a fast food place near nearVariable !",
449,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""20-25"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a pub , it has a price range of £20-25 and it is a fast food place and near nearVariable family friendly in riverside , you know buddy !","nameVariable is a pub with a price range of £20-25 , it is a fast food place , it is near nearVariable and it is in riverside , you know and it is family friendly !",
450,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""English"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"you want to know more about nameVariable ? well , it is a pub , it is n't somewhat family friendly and it 's an english restaurant in city centre and moderately priced , also it is sort of near nearVariable , you see ?","let 's see what we can find on nameVariable . right , it is an english restaurant in city centre near nearVariable and moderately priced , also it is a pub , also it is n't somewhat family friendly , you see ?",
451,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""English"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"damn moderately priced nameVariable is it 's in city centre and it is n't family friendly , also it 's an english place.. it is near nearVariable . it is a pub .","nameVariable is moderately priced , also it 's an english place . it is in city centre . it is near nearVariable . it is a pub . it is n't kid friendly .",
452,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""English"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"you want to know more about nameVariable ? well , i see nameVariable is n't family friendly , also it 's moderately priced and an english restaurant . it is a pub , also it is sort of in city centre near nearVariable .","let 's see what we can find on nameVariable . well , i see it is an english restaurant near nearVariable in city centre and moderately priced , also it is a pub , and it is n't kid friendly .",
453,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""English"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"oh god yeah , i am not sure . err ... nameVariable is a pub , also it is n't family friendly , also it is an english place and near nearVariable moderately priced in city centre .","oh god yeah , i do n't know . nameVariable is a pub , also it is an english place in city centre near nearVariable and moderately priced , also it is n't kid friendly !",
454,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""English"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is moderately priced , also it 's near nearVariable , it is a pub , it is n't kid friendly buddy and it 's an english place . it is in city centre , you know !","nameVariable is a pub , it is an english place , it is moderately priced , it is n't kid friendly , it 's in city centre and it is near nearVariable , you know !",
455,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"you want to know more about nameVariable ? yeah , i see it is a restaurant , also it is moderately priced in riverside , an italian place and quite kid friendly , also it is near nearVariable , alright ?","let 's see what we can find on nameVariable . right , it is an italian restaurant , rather moderately priced in riverside and family friendly near nearVariable and it is a pub , alright ?",
456,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"basically , i mean nameVariable is damn family friendly , also it 's moderately priced . it is in riverside . nameVariable is near nearVariable . it is an italian restaurant . it is a restaurant .","basically , i mean , i thought everybody knew that nameVariable is moderately priced , also it 's in riverside . it is an italian place . it is near nearVariable . it is a pub . it is in riverside .",
457,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? i see , well , i guess it is an italian place , moderately priced and near nearVariable kid friendly in riverside and nameVariable is a restaurant .","let 's see what we can find on nameVariable . well , i see it is an italian restaurant in riverside , moderately priced near nearVariable and kid friendly and it is a pub .",
458,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh god err ... i do n't know . mmhm ... nameVariable is a restaurant and it is moderately priced , an italian place near nearVariable and family friendly in riverside .","oh god i do n't know . nameVariable is darn moderately priced , an italian place near nearVariable and kid friendly in riverside and it is a pub .",
459,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"did you say nameVariable ? it is a restaurant , it is moderately priced , it 's an italian place and kid friendly pal , it is in riverside and nameVariable is near nearVariable , you know !","nameVariable is a pub , it is moderately priced , it 's an italian place , it is near nearVariable and it is in riverside , also it is family friendly , you know !",
